,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
0,The Dark Knight,Interstellar,Inside Out,Forrest Gump,The Shawshank Redemption,Inside Job,The Shawshank Redemption,The Lion King,The Lord of the Rings: The Return of the King,Character,Schindler's List,The Shining,Straight Outta Compton,Se7en,Forrest Gump,Inception,Sharknado,Pulp Fiction,Schindler's List,Django Unchained
1,Inception,The Lord of the Rings: The Return of the King,Spirited Away,Inside Out,The Dark Knight,One Direction: This Is Us,Fight Club,WALL·E,The Lord of the Rings: The Fellowship of the Ring,Water,The Imitation Game,Alien,Amadeus,Memento,Her,Interstellar,,Inception,Saving Private Ryan,"The Good, the Bad and the Ugly"
2,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Fellowship of the Ring,The Lion King,Back to the Future,Pulp Fiction,Bowling for Columbine,The Godfather,Big Hero 6,The Lord of the Rings: The Two Towers,Namastey London,Saving Private Ryan,Psycho,Pitch Perfect,Gone Girl,Eternal Sunshine of the Spotless Mind,Guardians of the Galaxy,,Se7en,Apocalypse Now,The Revenant
3,The Lord of the Rings: The Fellowship of the Ring,Guardians of the Galaxy,WALL·E,The Wolf of Wall Street,The Godfather,Man on Wire,The Dark Knight,Up,Spirited Away,Paa,12 Years a Slave,Aliens,Singin' in the Rain,The Prestige,The Theory of Everything,The Matrix,,The Imitation Game,The Pianist,Once Upon a Time in the West
4,Guardians of the Galaxy,The Empire Strikes Back,Big Hero 6,The Grand Budapest Hotel,Se7en,The Act of Killing,Forrest Gump,Harry Potter and the Prisoner of Azkaban,The Green Mile,Bon voyage,Dallas Buyers Club,The Conjuring,Moulin Rouge!,Shutter Island,Amélie,Star Wars,,The Silence of the Lambs,Pan's Labyrinth,Unforgiven
5,The Empire Strikes Back,Star Wars,Up,Up,The Green Mile,"Food, Inc.",Interstellar,Toy Story,Harry Potter and the Prisoner of Azkaban,,Spotlight,Jaws,The Blues Brothers,2001: A Space Odyssey,Titanic,The Empire Strikes Back,,Inglourious Basterds,American Sniper,True Grit
6,Star Wars,The Lord of the Rings: The Two Towers,Toy Story,The Truman Show,The Godfather: Part II,Sicko,Schindler's List,Finding Nemo,Harry Potter and the Philosopher's Stone,,Braveheart,Shaun of the Dead,Begin Again,The Hateful Eight,The Notebook,Back to the Future,,Gone Girl,Fury,3:10 to Yuma
7,The Lord of the Rings: The Two Towers,Back to the Future,Finding Nemo,Toy Story,The Silence of the Lambs,Indie Game: The Movie,Whiplash,Harry Potter and the Philosopher's Stone,Pirates of the Caribbean: The Curse of the Black Pearl,,The King's Speech,The Thing,Les Misérables,Donnie Darko,A Beautiful Mind,The Avengers,,Memento,The Last Samurai,The Lone Ranger
8,The Matrix,Spirited Away,"Monsters, Inc.",Amélie,The Wolf of Wall Street,Religulous,The Godfather: Part II,"Monsters, Inc.",V for Vendetta,,Amadeus,Zombieland,The Sound of Music,The Sixth Sense,The Perks of Being a Wallflower,The Martian,,The Prestige,300,A Million Ways to Die in the West
9,Inglourious Basterds,Gladiator,Toy Story 3,Deadpool,GoodFellas,March of the Penguins,The Green Mile,Toy Story 3,X-Men: Days of Future Past,,The Untouchables,The Exorcist,Almost Famous,Oldboy,The Fault in Our Stars,Return of the Jedi,,The Shining,The Hurt Locker,
10,Gladiator,Big Hero 6,Ratatouille,Toy Story 3,The Usual Suspects,Fahrenheit 9/11,Inside Out,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,,Downfall,I Am Legend,Billy Elliot,The Bourne Identity,Slumdog Millionaire,Iron Man,,Shutter Island,Black Hawk Down,
11,The Dark Knight Rises,The Avengers,The Incredibles,The Big Lebowski,Reservoir Dogs,Super Size Me,The Silence of the Lambs,Harry Potter and the Chamber of Secrets,Avatar,,Black Hawk Down,The Others,Walk the Line,The Thing,Edward Scissorhands,Her,,Alien,Troy,
12,Return of the Jedi,The Martian,How to Train Your Dragon,"Monsters, Inc.",The Departed,An Inconvenient Truth,The Imitation Game,Harry Potter and the Order of the Phoenix,The Hobbit: The Desolation of Smaug,,Saving Mr. Banks,Saw,Inside Llewyn Davis,The Bourne Ultimatum,Me Before You,Captain America: The Winter Soldier,,The Usual Suspects,Top Gun,
13,The Avengers,Deadpool,Frozen,Ratatouille,The Dark Knight Rises,This Is It,The Lion King,Ratatouille,Harry Potter and the Chamber of Secrets,,Gangs of New York,World War Z,Fantasia,Gattaca,Casablanca,Eternal Sunshine of the Spotless Mind,,The Departed,Pearl Harbor,
14,Alien,Return of the Jedi,The Lego Movie,About Time,Scarface,Jackass 3D,GoodFellas,Harry Potter and the Half-Blood Prince,Harry Potter and the Order of the Phoenix,,Invictus,28 Days Later,"South Park: Bigger, Longer & Uncut",The Maze Runner,The Great Gatsby,The Hunger Games: Catching Fire,,Reservoir Dogs,300: Rise of an Empire,
15,Deadpool,Harry Potter and the Prisoner of Azkaban,Aladdin,Birdman,Kill Bill: Vol. 1,Jackass Number Two,American History X,Frozen,Donnie Darko,,13 Hours: The Secret Soldiers of Benghazi,Interview with the Vampire,Pitch Perfect 2,Mulholland Drive,Moonrise Kingdom,Edge of Tomorrow,,Room,The Monuments Men,
16,Batman Begins,Iron Man,Shrek,The Lego Movie,Prisoners,Jackass: The Movie,The Wolf of Wall Street,Back to the Future Part II,Harry Potter and the Half-Blood Prince,,Steve Jobs,The Conjuring 2,The Bélier Family,L.A. Confidential,Groundhog Day,Jurassic Park,,Blade Runner,,
17,Iron Man,Harry Potter and the Philosopher's Stone,Despicable Me,Back to the Future Part II,Batman Begins,,Inglourious Basterds,Aladdin,How to Train Your Dragon,,The Patriot,The Devil's Advocate,School of Rock,The Girl with the Dragon Tattoo,Pride & Prejudice,Mad Max: Fury Road,,Titanic,,
18,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,Tangled,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Taxi Driver,,One Flew Over the Cuckoo's Nest,Tangled,Edward Scissorhands,,Zero Dark Thirty,Halloween,Step Up,Zodiac,Midnight in Paris,Blade Runner,,Psycho,,
19,Kill Bill: Vol. 1,Captain America: The Winter Soldier,Toy Story 2,Aladdin,Catch Me If You Can,,The Grand Budapest Hotel,Despicable Me,How to Train Your Dragon 2,,Lincoln,A Nightmare on Elm Street,Wayne's World,The Game,The Age of Adaline,Ex Machina,,V for Vendetta,,
20,Captain America: The Winter Soldier,X-Men: Days of Future Past,Wreck-It Ralph,Monty Python and the Holy Grail,The Hateful Eight,,Django Unchained,Toy Story 2,Pan's Labyrinth,,Valkyrie,Scream,Hairspray,The Others,(500) Days of Summer,Terminator 2: Judgment Day,,Prisoners,,
21,V for Vendetta,Avatar,Ice Age,The Hangover,The Big Lebowski,,The Prestige,E.T. the Extra-Terrestrial,The Hobbit: An Unexpected Journey,,Pearl Harbor,From Dusk Till Dawn,Magic Mike XXL,Source Code,Pitch Perfect,Avengers: Age of Ultron,,Terminator 2: Judgment Day,,
22,X-Men: Days of Future Past,Jurassic Park,Despicable Me 2,Shrek,Requiem for a Dream,,Gone Girl,Wreck-It Ralph,The Fifth Element,,Public Enemies,Gremlins,Into the Woods,Saw,Brokeback Mountain,Gravity,,Kill Bill: Vol. 2,,
23,Edge of Tomorrow,Harry Potter and the Goblet of Fire,Monsters University,Toy Story 2,Kill Bill: Vol. 2,,The Usual Suspects,Mulan,The Hunger Games,,The Monuments Men,Insidious,Alvin and the Chipmunks,Watchmen,Annie Hall,Star Trek,,Aliens,,
24,Avatar,The Hunger Games: Catching Fire,Kung Fu Panda,Shaun of the Dead,Trainspotting,,Gladiator,Hachi: A Dog's Tale,The Hobbit: The Battle of the Five Armies,,Alexander,Dracula,,Nerve,10 Things I Hate About You,Captain America: Civil War,,The Sixth Sense,,
25,Terminator 2: Judgment Day,The Hobbit: The Desolation of Smaug,Brave,Zombieland,City of God,,Saving Private Ryan,Ice Age,The Curious Case of Benjamin Button,,Pompeii,The Purge: Anarchy,,The Devil's Advocate,Gone with the Wind,Star Trek Into Darkness,,Spotlight,,
26,Scarface,Mad Max: Fury Road,Hotel Transylvania,Moonrise Kingdom,No Country for Old Men,,Shutter Island,Despicable Me 2,Pirates of the Caribbean: Dead Man's Chest,,,Sinister,,Contact,Before Sunrise,Dawn of the Planet of the Apes,,No Country for Old Men,,
27,The Hunger Games: Catching Fire,Raiders of the Lost Ark,The Croods,Hot Fuzz,Snatch,,The Departed,Back to the Future Part III,Maleficent,,,It Follows,,Non-Stop,Corpse Bride,The Hunger Games,,Nightcrawler,,
28,Raiders of the Lost Ark,Harry Potter and the Chamber of Secrets,Shrek 2,Wreck-It Ralph,Nightcrawler,,Room,Monsters University,Pirates of the Caribbean: At World's End,,,The Cabin in the Woods,,Scream,Moulin Rouge!,The Terminator,,Snatch,,
29,Mad Max: Fury Road,Avengers: Age of Ultron,Cars,The Big Short,Now You See Me,,Psycho,The Wizard of Oz,Spider-Man,,,The Mist,,Shooter,Jackie Brown,X-Men: First Class,,Die Hard,,
